model,k,precision,recall,accuracy,f1_score
content_based,1,0.0,0.0,0.0,0.0
content_based,3,0.08333333333333333,0.25,0.25,0.125
content_based,5,0.1,0.5,0.5,0.16666666666666669
content_based,10,0.07500000000000001,0.75,0.75,0.13636363636363638
collaborative,1,0.0,0.0,0.0,0.0
collaborative,3,0.08333333333333333,0.25,0.25,0.125
collaborative,5,0.1,0.5,0.5,0.16666666666666669
collaborative,10,0.15267857142857144,1.0,1.0,0.26491092176607284
hybrid,1,0.0,0.0,0.0,0.0
hybrid,3,0.08333333333333333,0.25,0.25,0.125
hybrid,5,0.1,0.5,0.5,0.16666666666666669
hybrid,10,0.1,1.0,1.0,0.18181818181818182
cold_start,1,0.0,0.0,0.0,0.0
cold_start,3,0.3333333333333333,0.2,0.75,0.25
cold_start,5,0.44999999999999996,0.475,1.0,0.4621621621621621
cold_start,10,0.4,0.8375,1.0,0.5414141414141415
